query,url,title,grade
powershell,https://docs.microsoft.com/en-us/powershell/scripting/overview,PowerShell Scripting - PowerShell | Microsoft Docs,10
powershell,https://docs.microsoft.com/en-us/powershell/,PowerShell Documentation - PowerShell | Microsoft Docs,9
powershell,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/powershell,PowerShell | Microsoft Docs,8
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell,Installing PowerShell - PowerShell | Microsoft Docs,7
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-windows-powershell,Installing Windows PowerShell - PowerShell | Microsoft Docs,6
powershell,https://docs.microsoft.com/en-us/powershell/scripting/getting-started/getting-started-with-windows-powershell,Getting Started with Windows PowerShell - PowerShell | Microsoft ...,5
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell-core-on-windows,Installing PowerShell Core on Windows - PowerShell | Microsoft Docs,4
powershell,https://docs.microsoft.com/en-us/powershell/azure/active-directory/overview,Azure Active Directory PowerShell for Graph | Microsoft Docs,3
powershell,https://docs.microsoft.com/en-us/powershell/scripting/install/installing-powershell-core-on-linux,Installing PowerShell Core on Linux - PowerShell | Microsoft Docs,2
powershell,https://docs.microsoft.com/en-us/virtualization/hyper-v-on-windows/quick-start/try-hyper-v-powershell,Working with Hyper-V and Windows PowerShell | Microsoft Docs,1
power bi,https://docs.microsoft.com/en-us/power-bi/fundamentals/power-bi-overview,What is Power BI? - Power BI | Microsoft Docs,10
power bi,https://docs.microsoft.com/en-us/power-bi/guided-learning/,Microsoft Power BI Guided Learning - Power BI | Microsoft Docs,9
power bi,https://docs.microsoft.com/en-us/power-bi/,Power BI documentation - Power BI | Microsoft Docs,8
power bi,https://docs.microsoft.com/en-us/power-bi/service-get-started,Get started with the Power BI service - Power BI | Microsoft Docs,7
power bi,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,Get started building with Power BI - Learn | Microsoft Docs,6
power bi,https://docs.microsoft.com/en-us/power-bi/service-admin-purchasing-power-bi-pro,Purchase and assign Power BI Pro licenses - Power BI | Microsoft ...,5
power bi,https://docs.microsoft.com/en-us/power-bi/desktop-what-is-desktop,What is Power BI Desktop? - Power BI | Microsoft Docs,4
power bi,https://docs.microsoft.com/en-us/power-bi/desktop-videos,Power BI Desktop videos - Power BI | Microsoft Docs,3
power bi,https://docs.microsoft.com/en-us/azure/azure-monitor/platform/powerbi,Import Azure Log Analytics data into Power BI - Azure Monitor ...,2
power bi,https://docs.microsoft.com/en-us/power-bi/service-azure-and-power-bi,Azure and Power BI - Power BI | Microsoft Docs,1
sharepoint,https://docs.microsoft.com/en-us/sharepoint/,SharePoint documentation | Microsoft Docs,10
sharepoint,https://docs.microsoft.com/en-us/sharepoint/introduction,Introduction to SharePoint Online - SharePoint Online | Microsoft Docs,9
sharepoint,https://docs.microsoft.com/en-us/connectors/sharepointonline/,SharePoint - Connectors | Microsoft Docs,8
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/spfx/sharepoint-framework-overview,Overview of the SharePoint Framework (SPFx) | Microsoft Docs,7
sharepoint,https://docs.microsoft.com/en-us/sharepointmigration/introducing-the-sharepoint-migration-tool,Introducing the SharePoint Migration Tool - Migrate to SharePoint ...,6
sharepoint,https://docs.microsoft.com/en-us/sharepoint/sharepoint-online,SharePoint Online admin - SharePoint Online | Microsoft Docs,5
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/,SharePoint Development | Microsoft Docs,4
sharepoint,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/app-from-sharepoint,Create a canvas app from a SharePoint list - PowerApps | Microsoft ...,3
sharepoint,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/connections/connection-sharepoint-online,Overview of the SharePoint connection - PowerApps | Microsoft Docs,2
sharepoint,https://docs.microsoft.com/en-us/sharepoint/dev/transform/modernize-scanner,The SharePoint modernization scanner | Microsoft Docs,1
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/connections/connection-excel,Overview of the Excel connection - PowerApps | Microsoft Docs,10
excel,https://docs.microsoft.com/en-us/office/troubleshoot/excel/get-latest-excel-viewer,Obtain the latest Excel Viewer - Office | Microsoft Docs,9
excel,https://docs.microsoft.com/en-us/azure/devops/boards/backlogs/office/bulk-add-modify-work-items-excel,Bulk modify work items using Microsoft Excel - Azure Boards ...,8
excel,https://docs.microsoft.com/en-us/power-bi/service-analyze-in-excel,Analyze in Excel for Power BI - Power BI | Microsoft Docs,7
excel,https://docs.microsoft.com/en-us/office365/troubleshoot/troubleshooting/registry-override-default-behavior,What's new in Excel for Office 365 - Excel,6
excel,https://docs.microsoft.com/en-us/connectors/excel/,Excel - Connectors | Microsoft Docs,5
excel,https://docs.microsoft.com/en-us/learn/certifications/exams/77-727,"Exam 77-727: Excel 2016: Core Data Analysis, Manipulation, and ...",4
excel,https://docs.microsoft.com/en-us/learn/certifications/mos-excel-expert-2019,Microsoft Office Specialist: Microsoft Excel Expert (Excel and Excel ...,3
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/get-started-create-from-data,Create a canvas app from Excel - PowerApps | Microsoft Docs,2
excel,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/share-app-data,Share Excel files used by an app - PowerApps | Microsoft Docs,1
active directory,https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/get-started/virtual-dc/active-directory-domain-services-overview,Active Directory Domain Services Overview | Microsoft Docs,10
active directory,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,Azure Active Directory,9
active directory,https://docs.microsoft.com/en-us/powershell/module/addsadministration/,ActiveDirectory,8
active directory,https://docs.microsoft.com/en-us/windows/win32/ad/active-directory-domain-services,Active Directory Domain Services - Win32 apps | Microsoft Docs,7
active directory,https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/active-directory-domain-services,Active Directory Domain Services | Microsoft Docs,6
active directory,https://docs.microsoft.com/en-us/azure/active-directory/,Azure Active Directory documentation | Microsoft Docs,5
active directory,https://docs.microsoft.com/en-us/windows/win32/adsi/so-what-is-active-directory,Active Directory,4
active directory,https://docs.microsoft.com/en-us/windows-server/identity/active-directory-federation-services,Active Directory Federation Services | Microsoft Docs,3
active directory,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/concept-fundamentals-security-defaults,Azure Active Directory security defaults | Microsoft Docs,2
active directory,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/whatis-hybrid-identity,What is hybrid identity with Azure Active Directory? | Microsoft Docs,1
sql,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms,Download SQL Server Management Studio (SSMS) - SQL Server ...,10
sql,https://docs.microsoft.com/en-us/sql/ssdt/download-sql-server-data-tools-ssdt,SQL Server Data Tools,9
sql,https://docs.microsoft.com/en-us/sql/t-sql/language-reference,Transact-SQL Reference (Database Engine) - SQL Server ...,8
sql,https://docs.microsoft.com/en-us/sql/azure-data-studio/download-azure-data-studio,Download and install - Azure Data Studio | Microsoft Docs,7
sql,https://docs.microsoft.com/en-us/azure/sql-database/,Documentation - Azure SQL Database | Microsoft Docs,6
sql,https://docs.microsoft.com/en-us/sql/t-sql/tutorial-writing-transact-sql-statements,Tutorial: Writing Transact-SQL Statements - SQL Server | Microsoft ...,5
sql,https://docs.microsoft.com/en-us/sql/t-sql/language-elements/transact-sql-syntax-conventions-transact-sql,Transact-SQL Syntax Conventions (Transact-SQL) - SQL Server ...,4
sql,https://docs.microsoft.com/en-us/sql/,Microsoft SQL documentation - SQL Server | Microsoft Docs,3
sql,https://docs.microsoft.com/en-us/azure/azure-monitor/log-query/sql-cheatsheet,SQL to Azure Monitor log query cheat sheet - Azure Monitor ...,2
sql,https://docs.microsoft.com/en-us/sql/sql-server/,SQL Server technical documentation - SQL Server | Microsoft Docs,1
python,https://docs.microsoft.com/en-us/azure/bot-service/python/bot-builder-python-quickstart,Create a bot using Bot Framework SDK for Python - Bot Service ...,10
python,https://docs.microsoft.com/en-us/azure/python/,Azure for Python developers | Microsoft Docs,9
python,https://docs.microsoft.com/en-us/azure/devops/pipelines/ecosystems/python,Build and test Python apps - Azure Pipelines | Microsoft Docs,8
python,https://docs.microsoft.com/en-us/learn/modules/intro-to-python/,Introduction to Python - Learn | Microsoft Docs,7
python,https://docs.microsoft.com/en-us/azure/python/tutorial-vs-code-serverless-python-01,Tutorial: Create and deploy serverless Azure Functions in Python ...,6
python,https://docs.microsoft.com/en-us/azure/devops/pipelines/tasks/tool/use-python-version,Use Python Version task - Azure Pipelines | Microsoft Docs,5
python,https://docs.microsoft.com/en-us/azure/azure-functions/functions-reference-python,Python developer reference for Azure Functions | Microsoft Docs,4
python,https://docs.microsoft.com/en-us/visualstudio/python/,Python Development with Visual Studio - Visual Studio | Microsoft ...,3
python,https://docs.microsoft.com/en-us/azure/cosmos-db/create-sql-api-python,Quickstart: Build a Python app using Azure Cosmos DB SQL API ...,2
python,https://docs.microsoft.com/en-us/azure/automation/automation-runbook-types,Azure Automation Runbook Types | Microsoft Docs,1
c#,https://docs.microsoft.com/en-us/dotnet/csharp/,"C# docs - get started, tutorials, reference. | Microsoft Docs",10
c#,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/,C# Programming Guide | Microsoft Docs,9
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/,C# reference | Microsoft Docs,8
c#,https://docs.microsoft.com/en-us/dotnet/csharp/getting-started/introduction-to-the-csharp-language-and-the-net-framework,Introduction to the C# Language and the .NET Framework | Microsoft ...,7
c#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/,C# Tutorials | Microsoft Docs,6
c#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/,Introduction to C# - interactive tutorials | Microsoft Docs,5
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/language-specification/introduction,Introduction - C# language specification | Microsoft Docs,4
c#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/operators/null-coalescing-operator,?? and ??= operators - C# reference | Microsoft Docs,3
c#,https://docs.microsoft.com/en-us/dotnet/csharp/async,Asynchronous programming - C# | Microsoft Docs,2
c#,https://docs.microsoft.com/en-us/dotnet/csharp/pattern-matching,Pattern Matching - C# Guide | Microsoft Docs,1
